leaf_idx,type,ne,classification,first_referencing_node,reasoning
439,f32,30720x1x1x1,state:conv_state(blk.28),n1623,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
440,q4_0,5120x10240x1x1,weight:blk.28.attn_qkv.weight,n1631,unique q4_0 5120x10240 in block
441,f32,786432x1x1x1,state:ssm_state(blk.28),n1638,f32[786432]=128x128x48 GDN recurrent state
442,f32,4x10240x1x1,weight:blk.28.ssm_conv1d.weight,n1645,f32 4x10240 SSM_CONV kernel
443,f16,5120x48x1x1,weight:blk.28.ssm_alpha.weight,n1652,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
444,f32,48x1x1x1,weight:blk.28.ssm_dt.bias,n1654,f32[48] ADD operand on the alpha path
445,f32,48x1x1x1,weight:blk.28.ssm_a,n1656,f32[48] MUL operand after softplus (-exp(A_log) factor)
446,f16,5120x48x1x1,weight:blk.28.ssm_beta.weight,n1658,f16 5120x48 GEMV feeding sigmoid (mixing path)
447,f32,128x1x1x1,weight:blk.28.ssm_norm.weight,n1669,f32[128] MUL after the per-head RMS_NORM of the GDN output
448,q4_0,5120x6144x1x1,weight:blk.28.attn_gate.weight,n1670,unique q4_0 5120x6144 in block (z-gate GEMV)
449,q4_0_ar16,6144x5120x1x1,weight:blk.28.ssm_out.weight,n1675,unique Q4_0_AR16 6144x5120 in block
450,f32,5120x1x1x1,weight:blk.28.post_attention_norm.weight,n1679,f32[5120] MUL paired with pre-FFN RMS_NORM
451,q4_0,5120x17408x1x1,weight:blk.28.ffn_gate.weight,n1680,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
452,q4_0,5120x17408x1x1,weight:blk.28.ffn_up.weight,n1681,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
453,q4_0,17408x5120x1x1,weight:blk.28.ffn_down.weight,n1683,unique q4_0 17408x5120 in block
454,f32,5120x1x1x1,weight:blk.29.attn_norm.weight,n1686,f32[5120] MUL paired with pre-mixer RMS_NORM
455,f32,30720x1x1x1,state:conv_state(blk.29),n1687,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
456,q4_0,5120x10240x1x1,weight:blk.29.attn_qkv.weight,n1695,unique q4_0 5120x10240 in block
457,f32,786432x1x1x1,state:ssm_state(blk.29),n1702,f32[786432]=128x128x48 GDN recurrent state
458,f32,4x10240x1x1,weight:blk.29.ssm_conv1d.weight,n1709,f32 4x10240 SSM_CONV kernel
459,f16,5120x48x1x1,weight:blk.29.ssm_alpha.weight,n1716,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
460,f32,48x1x1x1,weight:blk.29.ssm_dt.bias,n1718,f32[48] ADD operand on the alpha path
461,f32,48x1x1x1,weight:blk.29.ssm_a,n1720,f32[48] MUL operand after softplus (-exp(A_log) factor)
462,f16,5120x48x1x1,weight:blk.29.ssm_beta.weight,n1722,f16 5120x48 GEMV feeding sigmoid (mixing path)
463,f32,128x1x1x1,weight:blk.29.ssm_norm.weight,n1733,f32[128] MUL after the per-head RMS_NORM of the GDN output
464,q4_0,5120x6144x1x1,weight:blk.29.attn_gate.weight,n1734,unique q4_0 5120x6144 in block (z-gate GEMV)
465,q4_0_ar16,6144x5120x1x1,weight:blk.29.ssm_out.weight,n1739,unique Q4_0_AR16 6144x5120 in block
466,f32,5120x1x1x1,weight:blk.29.post_attention_norm.weight,n1743,f32[5120] MUL paired with pre-FFN RMS_NORM
467,q4_0,5120x17408x1x1,weight:blk.29.ffn_gate.weight,n1744,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
468,q4_0,5120x17408x1x1,weight:blk.29.ffn_up.weight,n1745,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
469,q4_0,17408x5120x1x1,weight:blk.29.ffn_down.weight,n1747,unique q4_0 17408x5120 in block
470,f32,5120x1x1x1,weight:blk.30.attn_norm.weight,n1750,f32[5120] MUL paired with pre-mixer RMS_NORM
471,f32,30720x1x1x1,state:conv_state(blk.30),n1751,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
472,q4_0,5120x10240x1x1,weight:blk.30.attn_qkv.weight,n1759,unique q4_0 5120x10240 in block
473,f32,786432x1x1x1,state:ssm_state(blk.30),n1766,f32[786432]=128x128x48 GDN recurrent state
474,f32,4x10240x1x1,weight:blk.30.ssm_conv1d.weight,n1773,f32 4x10240 SSM_CONV kernel
475,f16,5120x48x1x1,weight:blk.30.ssm_alpha.weight,n1780,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
476,f32,48x1x1x1,weight:blk.30.ssm_dt.bias,n1782,f32[48] ADD operand on the alpha path
477,f32,48x1x1x1,weight:blk.30.ssm_a,n1784,f32[48] MUL operand after softplus (-exp(A_log) factor)
478,f16,5120x48x1x1,weight:blk.30.ssm_beta.weight,n1786,f16 5120x48 GEMV feeding sigmoid (mixing path)
479,f32,128x1x1x1,weight:blk.30.ssm_norm.weight,n1797,f32[128] MUL after the per-head RMS_NORM of the GDN output
480,q4_0,5120x6144x1x1,weight:blk.30.attn_gate.weight,n1798,unique q4_0 5120x6144 in block (z-gate GEMV)
481,q4_0_ar16,6144x5120x1x1,weight:blk.30.ssm_out.weight,n1803,unique Q4_0_AR16 6144x5120 in block
482,f32,5120x1x1x1,weight:blk.30.post_attention_norm.weight,n1807,f32[5120] MUL paired with pre-FFN RMS_NORM
483,q4_0,5120x17408x1x1,weight:blk.30.ffn_gate.weight,n1808,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
484,q4_0,5120x17408x1x1,weight:blk.30.ffn_up.weight,n1809,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
485,q4_0,17408x5120x1x1,weight:blk.30.ffn_down.weight,n1811,unique q4_0 17408x5120 in block
486,f32,5120x1x1x1,weight:blk.31.attn_norm.weight,n1814,f32[5120] MUL paired with pre-mixer RMS_NORM
487,q4_0,5120x12288x1x1,weight:blk.31.attn_q.weight,n1815,unique q4_0 5120x12288 in block (q+gate interleaved)
488,f32,256x1x1x1,weight:blk.31.attn_q_norm.weight,n1818,"f32[256] norm weight; MUL output has 24 heads (24=q, 4=k)"
489,q4_0,5120x1024x1x1,weight:blk.31.attn_v.weight,n1820,q4_0 5120x1024 whose GEMV goes straight to the V-cache SET_ROWS
490,q4_0,5120x1024x1x1,weight:blk.31.attn_k.weight,n1822,q4_0 5120x1024 whose GEMV feeds k_norm RMS_NORM + ROPE
491,f32,256x1x1x1,weight:blk.31.attn_k_norm.weight,n1825,"f32[256] norm weight; MUL output has 4 heads (24=q, 4=k)"
492,f16,1024x262144x1x1,cache_k(blk.31),n1828,"f16 1024x262144 KV line; SET_ROWS value comes from ROPE (K is roped, V is not)"
493,f16,1024x262144x1x1,cache_v(blk.31),n1830,"f16 1024x262144 KV line; SET_ROWS value does not come from ROPE (K is roped, V is not)"
494,q4_0,6144x5120x1x1,weight:blk.31.attn_output.weight,n1843,unique q4_0 6144x5120 in block
495,f32,5120x1x1x1,weight:blk.31.post_attention_norm.weight,n1846,f32[5120] MUL paired with pre-FFN RMS_NORM
496,q4_0,5120x17408x1x1,weight:blk.31.ffn_gate.weight,n1847,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
497,q4_0,5120x17408x1x1,weight:blk.31.ffn_up.weight,n1848,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
498,q4_0,17408x5120x1x1,weight:blk.31.ffn_down.weight,n1850,unique q4_0 17408x5120 in block
499,f32,5120x1x1x1,weight:blk.32.attn_norm.weight,n1853,f32[5120] MUL paired with pre-mixer RMS_NORM
500,f32,30720x1x1x1,state:conv_state(blk.32),n1854,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
501,q4_0,5120x10240x1x1,weight:blk.32.attn_qkv.weight,n1862,unique q4_0 5120x10240 in block
502,f32,786432x1x1x1,state:ssm_state(blk.32),n1869,f32[786432]=128x128x48 GDN recurrent state
503,f32,4x10240x1x1,weight:blk.32.ssm_conv1d.weight,n1876,f32 4x10240 SSM_CONV kernel
504,f16,5120x48x1x1,weight:blk.32.ssm_alpha.weight,n1883,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
505,f32,48x1x1x1,weight:blk.32.ssm_dt.bias,n1885,f32[48] ADD operand on the alpha path
506,f32,48x1x1x1,weight:blk.32.ssm_a,n1887,f32[48] MUL operand after softplus (-exp(A_log) factor)
507,f16,5120x48x1x1,weight:blk.32.ssm_beta.weight,n1889,f16 5120x48 GEMV feeding sigmoid (mixing path)
508,f32,128x1x1x1,weight:blk.32.ssm_norm.weight,n1900,f32[128] MUL after the per-head RMS_NORM of the GDN output
509,q4_0,5120x6144x1x1,weight:blk.32.attn_gate.weight,n1901,unique q4_0 5120x6144 in block (z-gate GEMV)
510,q4_0_ar16,6144x5120x1x1,weight:blk.32.ssm_out.weight,n1906,unique Q4_0_AR16 6144x5120 in block
511,f32,5120x1x1x1,weight:blk.32.post_attention_norm.weight,n1910,f32[5120] MUL paired with pre-FFN RMS_NORM
512,q4_0,5120x17408x1x1,weight:blk.32.ffn_gate.weight,n1911,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
513,q4_0,5120x17408x1x1,weight:blk.32.ffn_up.weight,n1912,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
514,q4_0,17408x5120x1x1,weight:blk.32.ffn_down.weight,n1914,unique q4_0 17408x5120 in block
515,f32,5120x1x1x1,weight:blk.33.attn_norm.weight,n1917,f32[5120] MUL paired with pre-mixer RMS_NORM
516,f32,30720x1x1x1,state:conv_state(blk.33),n1918,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
517,q4_0,5120x10240x1x1,weight:blk.33.attn_qkv.weight,n1926,unique q4_0 5120x10240 in block
518,f32,786432x1x1x1,state:ssm_state(blk.33),n1933,f32[786432]=128x128x48 GDN recurrent state
519,f32,4x10240x1x1,weight:blk.33.ssm_conv1d.weight,n1940,f32 4x10240 SSM_CONV kernel
520,f16,5120x48x1x1,weight:blk.33.ssm_alpha.weight,n1947,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
521,f32,48x1x1x1,weight:blk.33.ssm_dt.bias,n1949,f32[48] ADD operand on the alpha path
522,f32,48x1x1x1,weight:blk.33.ssm_a,n1951,f32[48] MUL operand after softplus (-exp(A_log) factor)
523,f16,5120x48x1x1,weight:blk.33.ssm_beta.weight,n1953,f16 5120x48 GEMV feeding sigmoid (mixing path)
524,f32,128x1x1x1,weight:blk.33.ssm_norm.weight,n1964,f32[128] MUL after the per-head RMS_NORM of the GDN output
525,q4_0,5120x6144x1x1,weight:blk.33.attn_gate.weight,n1965,unique q4_0 5120x6144 in block (z-gate GEMV)
526,q4_0_ar16,6144x5120x1x1,weight:blk.33.ssm_out.weight,n1970,unique Q4_0_AR16 6144x5120 in block
527,f32,5120x1x1x1,weight:blk.33.post_attention_norm.weight,n1974,f32[5120] MUL paired with pre-FFN RMS_NORM
528,q4_0,5120x17408x1x1,weight:blk.33.ffn_gate.weight,n1975,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
529,q4_0,5120x17408x1x1,weight:blk.33.ffn_up.weight,n1976,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
530,q4_0,17408x5120x1x1,weight:blk.33.ffn_down.weight,n1978,unique q4_0 17408x5120 in block
531,f32,5120x1x1x1,weight:blk.34.attn_norm.weight,n1981,f32[5120] MUL paired with pre-mixer RMS_NORM
532,f32,30720x1x1x1,state:conv_state(blk.34),n1982,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
533,q4_0,5120x10240x1x1,weight:blk.34.attn_qkv.weight,n1990,unique q4_0 5120x10240 in block
534,f32,786432x1x1x1,state:ssm_state(blk.34),n1997,f32[786432]=128x128x48 GDN recurrent state
535,f32,4x10240x1x1,weight:blk.34.ssm_conv1d.weight,n2004,f32 4x10240 SSM_CONV kernel
536,f16,5120x48x1x1,weight:blk.34.ssm_alpha.weight,n2011,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
537,f32,48x1x1x1,weight:blk.34.ssm_dt.bias,n2013,f32[48] ADD operand on the alpha path
538,f32,48x1x1x1,weight:blk.34.ssm_a,n2015,f32[48] MUL operand after softplus (-exp(A_log) factor)
539,f16,5120x48x1x1,weight:blk.34.ssm_beta.weight,n2017,f16 5120x48 GEMV feeding sigmoid (mixing path)
540,f32,128x1x1x1,weight:blk.34.ssm_norm.weight,n2028,f32[128] MUL after the per-head RMS_NORM of the GDN output
541,q4_0,5120x6144x1x1,weight:blk.34.attn_gate.weight,n2029,unique q4_0 5120x6144 in block (z-gate GEMV)
542,q4_0_ar16,6144x5120x1x1,weight:blk.34.ssm_out.weight,n2034,unique Q4_0_AR16 6144x5120 in block
543,f32,5120x1x1x1,weight:blk.34.post_attention_norm.weight,n2038,f32[5120] MUL paired with pre-FFN RMS_NORM
544,q4_0,5120x17408x1x1,weight:blk.34.ffn_gate.weight,n2039,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
545,q4_0,5120x17408x1x1,weight:blk.34.ffn_up.weight,n2040,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
546,q4_0,17408x5120x1x1,weight:blk.34.ffn_down.weight,n2042,unique q4_0 17408x5120 in block
547,f32,5120x1x1x1,weight:blk.35.attn_norm.weight,n2045,f32[5120] MUL paired with pre-mixer RMS_NORM
548,q4_0,5120x12288x1x1,weight:blk.35.attn_q.weight,n2046,unique q4_0 5120x12288 in block (q+gate interleaved)
549,f32,256x1x1x1,weight:blk.35.attn_q_norm.weight,n2049,"f32[256] norm weight; MUL output has 24 heads (24=q, 4=k)"
550,q4_0,5120x1024x1x1,weight:blk.35.attn_v.weight,n2051,q4_0 5120x1024 whose GEMV goes straight to the V-cache SET_ROWS
551,q4_0,5120x1024x1x1,weight:blk.35.attn_k.weight,n2053,q4_0 5120x1024 whose GEMV feeds k_norm RMS_NORM + ROPE
552,f32,256x1x1x1,weight:blk.35.attn_k_norm.weight,n2056,"f32[256] norm weight; MUL output has 4 heads (24=q, 4=k)"
553,f16,1024x262144x1x1,cache_k(blk.35),n2059,"f16 1024x262144 KV line; SET_ROWS value comes from ROPE (K is roped, V is not)"
554,f16,1024x262144x1x1,cache_v(blk.35),n2061,"f16 1024x262144 KV line; SET_ROWS value does not come from ROPE (K is roped, V is not)"
555,q4_0,6144x5120x1x1,weight:blk.35.attn_output.weight,n2074,unique q4_0 6144x5120 in block
556,f32,5120x1x1x1,weight:blk.35.post_attention_norm.weight,n2077,f32[5120] MUL paired with pre-FFN RMS_NORM
557,q4_0,5120x17408x1x1,weight:blk.35.ffn_gate.weight,n2078,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
558,q4_0,5120x17408x1x1,weight:blk.35.ffn_up.weight,n2079,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
559,q4_0,17408x5120x1x1,weight:blk.35.ffn_down.weight,n2081,unique q4_0 17408x5120 in block
560,f32,5120x1x1x1,weight:blk.36.attn_norm.weight,n2084,f32[5120] MUL paired with pre-mixer RMS_NORM
561,f32,30720x1x1x1,state:conv_state(blk.36),n2085,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
562,q4_0,5120x10240x1x1,weight:blk.36.attn_qkv.weight,n2093,unique q4_0 5120x10240 in block
563,f32,786432x1x1x1,state:ssm_state(blk.36),n2100,f32[786432]=128x128x48 GDN recurrent state
564,f32,4x10240x1x1,weight:blk.36.ssm_conv1d.weight,n2107,f32 4x10240 SSM_CONV kernel
565,f16,5120x48x1x1,weight:blk.36.ssm_alpha.weight,n2114,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
566,f32,48x1x1x1,weight:blk.36.ssm_dt.bias,n2116,f32[48] ADD operand on the alpha path
567,f32,48x1x1x1,weight:blk.36.ssm_a,n2118,f32[48] MUL operand after softplus (-exp(A_log) factor)
568,f16,5120x48x1x1,weight:blk.36.ssm_beta.weight,n2120,f16 5120x48 GEMV feeding sigmoid (mixing path)
569,f32,128x1x1x1,weight:blk.36.ssm_norm.weight,n2131,f32[128] MUL after the per-head RMS_NORM of the GDN output
570,q4_0,5120x6144x1x1,weight:blk.36.attn_gate.weight,n2132,unique q4_0 5120x6144 in block (z-gate GEMV)
571,q4_0_ar16,6144x5120x1x1,weight:blk.36.ssm_out.weight,n2137,unique Q4_0_AR16 6144x5120 in block
572,f32,5120x1x1x1,weight:blk.36.post_attention_norm.weight,n2141,f32[5120] MUL paired with pre-FFN RMS_NORM
573,q4_0,5120x17408x1x1,weight:blk.36.ffn_gate.weight,n2142,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
574,q4_0,5120x17408x1x1,weight:blk.36.ffn_up.weight,n2143,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
575,q4_0,17408x5120x1x1,weight:blk.36.ffn_down.weight,n2145,unique q4_0 17408x5120 in block
576,f32,5120x1x1x1,weight:blk.37.attn_norm.weight,n2148,f32[5120] MUL paired with pre-mixer RMS_NORM
577,f32,30720x1x1x1,state:conv_state(blk.37),n2149,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
578,q4_0,5120x10240x1x1,weight:blk.37.attn_qkv.weight,n2157,unique q4_0 5120x10240 in block
579,f32,786432x1x1x1,state:ssm_state(blk.37),n2164,f32[786432]=128x128x48 GDN recurrent state
580,f32,4x10240x1x1,weight:blk.37.ssm_conv1d.weight,n2171,f32 4x10240 SSM_CONV kernel
581,f16,5120x48x1x1,weight:blk.37.ssm_alpha.weight,n2178,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
582,f32,48x1x1x1,weight:blk.37.ssm_dt.bias,n2180,f32[48] ADD operand on the alpha path
583,f32,48x1x1x1,weight:blk.37.ssm_a,n2182,f32[48] MUL operand after softplus (-exp(A_log) factor)
584,f16,5120x48x1x1,weight:blk.37.ssm_beta.weight,n2184,f16 5120x48 GEMV feeding sigmoid (mixing path)
585,f32,128x1x1x1,weight:blk.37.ssm_norm.weight,n2195,f32[128] MUL after the per-head RMS_NORM of the GDN output
586,q4_0,5120x6144x1x1,weight:blk.37.attn_gate.weight,n2196,unique q4_0 5120x6144 in block (z-gate GEMV)
587,q4_0_ar16,6144x5120x1x1,weight:blk.37.ssm_out.weight,n2201,unique Q4_0_AR16 6144x5120 in block
588,f32,5120x1x1x1,weight:blk.37.post_attention_norm.weight,n2205,f32[5120] MUL paired with pre-FFN RMS_NORM
589,q4_0,5120x17408x1x1,weight:blk.37.ffn_gate.weight,n2206,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
590,q4_0,5120x17408x1x1,weight:blk.37.ffn_up.weight,n2207,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
591,q4_0,17408x5120x1x1,weight:blk.37.ffn_down.weight,n2209,unique q4_0 17408x5120 in block
592,f32,5120x1x1x1,weight:blk.38.attn_norm.weight,n2212,f32[5120] MUL paired with pre-mixer RMS_NORM
593,f32,30720x1x1x1,state:conv_state(blk.38),n2213,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
594,q4_0,5120x10240x1x1,weight:blk.38.attn_qkv.weight,n2221,unique q4_0 5120x10240 in block
595,f32,786432x1x1x1,state:ssm_state(blk.38),n2228,f32[786432]=128x128x48 GDN recurrent state
596,f32,4x10240x1x1,weight:blk.38.ssm_conv1d.weight,n2235,f32 4x10240 SSM_CONV kernel
597,f16,5120x48x1x1,weight:blk.38.ssm_alpha.weight,n2242,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
598,f32,48x1x1x1,weight:blk.38.ssm_dt.bias,n2244,f32[48] ADD operand on the alpha path
599,f32,48x1x1x1,weight:blk.38.ssm_a,n2246,f32[48] MUL operand after softplus (-exp(A_log) factor)
600,f16,5120x48x1x1,weight:blk.38.ssm_beta.weight,n2248,f16 5120x48 GEMV feeding sigmoid (mixing path)
601,f32,128x1x1x1,weight:blk.38.ssm_norm.weight,n2259,f32[128] MUL after the per-head RMS_NORM of the GDN output
602,q4_0,5120x6144x1x1,weight:blk.38.attn_gate.weight,n2260,unique q4_0 5120x6144 in block (z-gate GEMV)
603,q4_0_ar16,6144x5120x1x1,weight:blk.38.ssm_out.weight,n2265,unique Q4_0_AR16 6144x5120 in block
604,f32,5120x1x1x1,weight:blk.38.post_attention_norm.weight,n2269,f32[5120] MUL paired with pre-FFN RMS_NORM
605,q4_0,5120x17408x1x1,weight:blk.38.ffn_gate.weight,n2270,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
606,q4_0,5120x17408x1x1,weight:blk.38.ffn_up.weight,n2271,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
607,q4_0,17408x5120x1x1,weight:blk.38.ffn_down.weight,n2273,unique q4_0 17408x5120 in block
608,f32,5120x1x1x1,weight:blk.39.attn_norm.weight,n2276,f32[5120] MUL paired with pre-mixer RMS_NORM
609,q4_0,5120x12288x1x1,weight:blk.39.attn_q.weight,n2277,unique q4_0 5120x12288 in block (q+gate interleaved)
610,f32,256x1x1x1,weight:blk.39.attn_q_norm.weight,n2280,"f32[256] norm weight; MUL output has 24 heads (24=q, 4=k)"
611,q4_0,5120x1024x1x1,weight:blk.39.attn_v.weight,n2282,q4_0 5120x1024 whose GEMV goes straight to the V-cache SET_ROWS
612,q4_0,5120x1024x1x1,weight:blk.39.attn_k.weight,n2284,q4_0 5120x1024 whose GEMV feeds k_norm RMS_NORM + ROPE
613,f32,256x1x1x1,weight:blk.39.attn_k_norm.weight,n2287,"f32[256] norm weight; MUL output has 4 heads (24=q, 4=k)"
614,f16,1024x262144x1x1,cache_k(blk.39),n2290,"f16 1024x262144 KV line; SET_ROWS value comes from ROPE (K is roped, V is not)"
615,f16,1024x262144x1x1,cache_v(blk.39),n2292,"f16 1024x262144 KV line; SET_ROWS value does not come from ROPE (K is roped, V is not)"
616,q4_0,6144x5120x1x1,weight:blk.39.attn_output.weight,n2305,unique q4_0 6144x5120 in block
617,f32,5120x1x1x1,weight:blk.39.post_attention_norm.weight,n2308,f32[5120] MUL paired with pre-FFN RMS_NORM
618,q4_0,5120x17408x1x1,weight:blk.39.ffn_gate.weight,n2309,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
619,q4_0,5120x17408x1x1,weight:blk.39.ffn_up.weight,n2310,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
620,q4_0,17408x5120x1x1,weight:blk.39.ffn_down.weight,n2312,unique q4_0 17408x5120 in block
621,f32,5120x1x1x1,weight:blk.40.attn_norm.weight,n2315,f32[5120] MUL paired with pre-mixer RMS_NORM
622,f32,30720x1x1x1,state:conv_state(blk.40),n2316,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
623,q4_0,5120x10240x1x1,weight:blk.40.attn_qkv.weight,n2324,unique q4_0 5120x10240 in block
624,f32,786432x1x1x1,state:ssm_state(blk.40),n2331,f32[786432]=128x128x48 GDN recurrent state
625,f32,4x10240x1x1,weight:blk.40.ssm_conv1d.weight,n2338,f32 4x10240 SSM_CONV kernel
626,f16,5120x48x1x1,weight:blk.40.ssm_alpha.weight,n2345,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
627,f32,48x1x1x1,weight:blk.40.ssm_dt.bias,n2347,f32[48] ADD operand on the alpha path
628,f32,48x1x1x1,weight:blk.40.ssm_a,n2349,f32[48] MUL operand after softplus (-exp(A_log) factor)
629,f16,5120x48x1x1,weight:blk.40.ssm_beta.weight,n2351,f16 5120x48 GEMV feeding sigmoid (mixing path)
630,f32,128x1x1x1,weight:blk.40.ssm_norm.weight,n2362,f32[128] MUL after the per-head RMS_NORM of the GDN output
631,q4_0,5120x6144x1x1,weight:blk.40.attn_gate.weight,n2363,unique q4_0 5120x6144 in block (z-gate GEMV)
632,q4_0_ar16,6144x5120x1x1,weight:blk.40.ssm_out.weight,n2368,unique Q4_0_AR16 6144x5120 in block
633,f32,5120x1x1x1,weight:blk.40.post_attention_norm.weight,n2372,f32[5120] MUL paired with pre-FFN RMS_NORM
634,q4_0,5120x17408x1x1,weight:blk.40.ffn_gate.weight,n2373,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
635,q4_0,5120x17408x1x1,weight:blk.40.ffn_up.weight,n2374,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
636,q4_0,17408x5120x1x1,weight:blk.40.ffn_down.weight,n2376,unique q4_0 17408x5120 in block
637,f32,5120x1x1x1,weight:blk.41.attn_norm.weight,n2379,f32[5120] MUL paired with pre-mixer RMS_NORM
638,f32,30720x1x1x1,state:conv_state(blk.41),n2380,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
639,q4_0,5120x10240x1x1,weight:blk.41.attn_qkv.weight,n2388,unique q4_0 5120x10240 in block
640,f32,786432x1x1x1,state:ssm_state(blk.41),n2395,f32[786432]=128x128x48 GDN recurrent state
641,f32,4x10240x1x1,weight:blk.41.ssm_conv1d.weight,n2402,f32 4x10240 SSM_CONV kernel
642,f16,5120x48x1x1,weight:blk.41.ssm_alpha.weight,n2409,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
643,f32,48x1x1x1,weight:blk.41.ssm_dt.bias,n2411,f32[48] ADD operand on the alpha path
644,f32,48x1x1x1,weight:blk.41.ssm_a,n2413,f32[48] MUL operand after softplus (-exp(A_log) factor)
645,f16,5120x48x1x1,weight:blk.41.ssm_beta.weight,n2415,f16 5120x48 GEMV feeding sigmoid (mixing path)
646,f32,128x1x1x1,weight:blk.41.ssm_norm.weight,n2426,f32[128] MUL after the per-head RMS_NORM of the GDN output
647,q4_0,5120x6144x1x1,weight:blk.41.attn_gate.weight,n2427,unique q4_0 5120x6144 in block (z-gate GEMV)
648,q4_0_ar16,6144x5120x1x1,weight:blk.41.ssm_out.weight,n2432,unique Q4_0_AR16 6144x5120 in block
649,f32,5120x1x1x1,weight:blk.41.post_attention_norm.weight,n2436,f32[5120] MUL paired with pre-FFN RMS_NORM
650,q4_0,5120x17408x1x1,weight:blk.41.ffn_gate.weight,n2437,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
651,q4_0,5120x17408x1x1,weight:blk.41.ffn_up.weight,n2438,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
652,q4_0,17408x5120x1x1,weight:blk.41.ffn_down.weight,n2440,unique q4_0 17408x5120 in block
653,f32,5120x1x1x1,weight:blk.42.attn_norm.weight,n2443,f32[5120] MUL paired with pre-mixer RMS_NORM
654,f32,30720x1x1x1,state:conv_state(blk.42),n2444,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
655,q4_0,5120x10240x1x1,weight:blk.42.attn_qkv.weight,n2452,unique q4_0 5120x10240 in block
656,f32,786432x1x1x1,state:ssm_state(blk.42),n2459,f32[786432]=128x128x48 GDN recurrent state
657,f32,4x10240x1x1,weight:blk.42.ssm_conv1d.weight,n2466,f32 4x10240 SSM_CONV kernel
